-0.70,14000,4.725050e-05, 9.094073e-07
-0.70,15000,4.425840e-05, 7.993978e-07
-0.70,16000,4.162309e-05, 7.082296e-07
-0.70,17000,3.928430e-05, 6.318292e-07
-0.70,18000,3.719460e-05, 5.671681e-07
-0.70,19000,3.531618e-05, 5.119569e-07
-0.70,20000,3.361851e-05, 4.644386e-07
-0.60,5000,1.036583e-04, 4.234879e-06
-0.60,6000,8.830082e-05, 3.099142e-06
-0.60,7000,7.692168e-05, 2.367198e-06
-0.60,8000,6.814868e-05, 1.867634e-06
-0.60,9000,6.117669e-05, 1.511364e-06
-0.60,10000,5.550176e-05, 1.248301e-06
-0.60,11000,5.079217e-05, 1.048506e-06
-0.60,12000,4.682057e-05, 8.931765e-07
-0.60,13000,4.342589e-05, 7.700168e-07
-0.60,14000,4.049079e-05, 6.707103e-07
-0.60,15000,3.792776e-05, 5.894662e-07
-0.60,16000,3.567022e-05, 5.221517e-07
-0.60,17000,3.366656e-05, 4.657525e-07
-0.60,18000,3.187621e-05, 4.180284e-07
-0.60,19000,3.026681e-05, 3.772860e-07
-0.60,20000,2.881222e-05, 3.422263e-07
-0.50,5000,8.626837e-05, 2.961512e-06
-0.50,6000,7.351064e-05, 2.166217e-06
-0.50,7000,6.405120e-05, 1.653853e-06
-0.50,8000,5.675471e-05, 1.304291e-06
-0.50,9000,5.095406e-05, 1.055094e-06
-0.50,10000,4.623130e-05, 8.711607e-07
-0.50,11000,4.231111e-05, 7.315131e-07
-0.50,12000,3.900468e-05, 6.229798e-07
-0.50,13000,3.617818e-05, 5.369504e-07
-0.50,14000,3.373409e-05, 4.676019e-07
-0.50,15000,3.159964e-05, 4.108813e-07
-0.50,16000,2.971946e-05, 3.638965e-07
-0.50,17000,2.805062e-05, 3.245389e-07
-0.50,18000,2.655937e-05, 2.912418e-07
-0.50,19000,2.521878e-05, 2.628210e-07
-0.50,20000,2.400710e-05, 2.383685e-07
-0.40,5000,6.891904e-05, 1.909222e-06
-0.40,6000,5.874704e-05, 1.395764e-06
-0.40,7000,5.119910e-05, 1.065103e-06
-0.40,8000,4.537396e-05, 8.396072e-07
-0.40,9000,4.074127e-05, 6.789244e-07
-0.40,10000,3.696837e-05, 5.603725e-07
-0.40,11000,3.383594e-05, 4.703983e-07
-0.40,12000,3.119349e-05, 4.004952e-07
-0.40,13000,2.893429e-05, 3.451039e-07
-0.40,14000,2.698052e-05, 3.004659e-07
-0.40,15000,2.527412e-05, 2.639659e-07
-0.40,16000,2.377088e-05, 2.337384e-07
-0.40,17000,2.243654e-05, 2.084236e-07
-0.40,18000,2.124412e-05, 1.870112e-07
-0.40,19000,2.017212e-05, 1.687383e-07
-0.40,20000,1.920316e-05, 1.530195e-07
-0.30,5000,5.161355e-05, 1.082136e-06
-0.30,6000,4.401190e-05, 7.906427e-07
-0.30,7000,3.836654e-05, 6.030117e-07
-0.30,8000,3.400722e-05, 4.751190e-07
-0.30,9000,3.053887e-05, 3.840294e-07
-0.30,10000,2.771335e-05, 3.168535e-07
-0.30,11000,2.536694e-05, 2.658917e-07
-0.30,12000,2.338720e-05, 2.263131e-07
-0.30,13000,2.169435e-05, 1.949617e-07
-0.30,14000,2.023019e-05, 1.697045e-07
-0.30,15000,1.895129e-05, 1.490578e-07
-0.30,16000,1.782457e-05, 1.319637e-07
-0.30,17000,1.682437e-05, 1.176512e-07
-0.30,18000,1.593050e-05, 1.055477e-07
-0.30,19000,1.512686e-05, 9.522086e-08
-0.30,20000,1.440044e-05, 8.633911e-08
-0.20,5000,3.435560e-05, 4.847920e-07
-0.20,6000,2.930736e-05, 3.539722e-07
